date,price
2019-01-15,51.38
2019-02-15,54.95
2019-03-15,58.15
2019-04-15,63.86
2019-05-15,60.83
2019-06-15,54.66
2019-07-15,57.35
2019-08-15,54.81
2019-09-15,56.95
2019-10-15,53.96
2019-11-15,57.03
2019-12-15,59.88
2020-01-15,57.52
2020-02-15,50.54
2020-03-15,29.21
2020-04-15,16.55
2020-05-15,28.56
2020-06-15,38.31
2020-07-15,40.71
2020-08-15,42.34
2020-09-15,39.63
2020-10-15,39.4
2020-11-15,40.94
2020-12-15,47.02
2021-01-15,52
2021-02-15,59.04
2021-03-15,62.33
2021-04-15,61.72
2021-05-15,65.17
2021-06-15,71.38
2021-07-15,72.49
2021-08-15,67.73
2021-09-15,71.65
2021-10-15,81.48
2021-11-15,79.15
2021-12-15,71.71
2022-01-15,83.22
2022-02-15,91.64
2022-03-15,108.5
2022-04-15,101.78
2022-05-15,109.55
2022-06-15,114.84
2022-07-15,101.62
2022-08-15,93.67
2022-09-15,84.26
2022-10-15,87.55
2022-11-15,84.37
