date,location,source,kwh
2020-07,Port Vila,diesel,3559936.6863
2020-07,Port Vila,copra oil,0.0
2020-07,Port Vila,hydro,0.0
2020-07,Port Vila,wind,585812.3661000001
2020-07,Port Vila,solar,228812.44770000002
2020-07,Luganville,diesel,108055.7049
2020-07,Luganville,copra oil,0.0
2020-07,Luganville,hydro,766400.0575
2020-07,Luganville,wind,0.0
2020-07,Luganville,solar,2591.9069
2020-07,Malekula,diesel,
2020-07,Malekula,copra oil,
2020-07,Malekula,hydro,
2020-07,Malekula,wind,
2020-07,Malekula,solar,
2020-07,Tanna,diesel,
2020-07,Tanna,copra oil,
2020-07,Tanna,hydro,
2020-07,Tanna,wind,
2020-07,Tanna,solar,
2020-05,Port Vila,diesel,3673067.3198000006
2020-05,Port Vila,copra oil,439161.0537
2020-05,Port Vila,hydro,0.0
2020-05,Port Vila,wind,248904.10929999998
2020-05,Port Vila,solar,256292.7285
2020-05,Luganville,diesel,99664.84499999999
2020-05,Luganville,copra oil,0.0
2020-05,Luganville,hydro,663896.4675
2020-05,Luganville,wind,0.0
2020-05,Luganville,solar,1913.6875
2020-05,Malekula,diesel,95363.9024
2020-05,Malekula,copra oil,0.0
2020-05,Malekula,hydro,0.0
2020-05,Malekula,wind,0.0
2020-05,Malekula,solar,2185.0976000000005
2020-05,Tanna,diesel,112354.5088
2020-05,Tanna,copra oil,0.0
2020-05,Tanna,hydro,0.0
2020-05,Tanna,wind,0.0
2020-05,Tanna,solar,3141.4912000000004
2020-10,Port Vila,diesel,4045420.1540000006
2020-10,Port Vila,copra oil,0.0
2020-10,Port Vila,hydro,0.0
2020-10,Port Vila,wind,454989.65390000003
2020-10,Port Vila,solar,304127.1921
2020-10,Luganville,diesel,211471.5042
2020-10,Luganville,copra oil,0.0
2020-10,Luganville,hydro,751623.9291
2020-10,Luganville,wind,0.0
2020-10,Luganville,solar,3461.8814999999995
2020-10,Malekula,diesel,82349.0352
2020-10,Malekula,copra oil,0.0
2020-10,Malekula,hydro,0.0
2020-10,Malekula,wind,0.0
2020-10,Malekula,solar,2232.9648
2020-10,Tanna,diesel,119438.2408
2020-10,Tanna,copra oil,0.0
2020-10,Tanna,hydro,0.0
